Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
ZIMS,06.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.03.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.04.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,31.05.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.06.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,31.07.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,31.08.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.09.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,31.10.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.11.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.12.2018,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.03.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.04.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,31.05.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.06.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,31.07.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.08.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,23.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.09.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,02.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,03.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,09.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,10.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,16.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,17.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,24.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,28.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,29.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,30.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,31.10.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,01.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,04.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,05.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,06.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,07.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,08.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,11.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,12.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,13.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,14.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,15.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,18.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,19.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,20.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,21.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,22.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,25.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,26.11.2019,"1.307,00",,,"1.307,00","0,00",,,
ZIMS,27.11.2019,"1.307,00",,,"1.307,00","0,00",,,
