Код,Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
INB,01.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,03.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,04.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,05.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,08.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,09.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,10.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,11.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,12.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,15.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,16.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,17.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,18.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,19.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,22.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,23.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,24.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,25.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,26.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,29.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,30.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,31.08.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,01.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,02.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,05.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,06.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,07.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,09.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,12.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,13.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,14.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,15.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,16.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,19.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,20.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,21.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,22.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,23.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,26.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,27.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,28.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,29.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,30.09.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,03.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,04.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,05.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,06.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,07.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,10.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,12.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,13.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,14.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,17.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,18.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,19.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,20.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,21.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,25.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,26.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,27.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,28.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,31.10.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,01.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,02.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,03.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,04.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,07.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,08.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,09.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,10.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,11.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,14.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,15.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,16.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,17.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,18.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,21.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,22.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,23.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,24.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,25.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,28.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,29.11.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,01.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,02.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,05.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,06.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,07.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,09.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,12.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,13.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,14.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,15.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,16.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,19.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,20.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,21.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,22.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,23.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,26.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,27.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,28.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,29.12.2016,"5.000,00",,,"5.000,00","0,00",,,
INB,03.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,04.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,05.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,09.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,11.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,12.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,16.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,17.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,18.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,23.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,24.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,25.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,26.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,30.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,31.01.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,01.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,02.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,03.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,08.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,09.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,14.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,15.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,16.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,17.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,22.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,23.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,24.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,28.02.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,01.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,02.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,03.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,08.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,09.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,14.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,15.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,16.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,17.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,22.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,23.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,24.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,28.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,29.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,30.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,31.03.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,03.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,04.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,05.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,11.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,12.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,18.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,19.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,24.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,25.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,26.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,28.04.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,02.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,03.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,04.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,05.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,08.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,09.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,11.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,12.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,15.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,16.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,17.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,18.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,19.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,22.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,23.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,25.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,26.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,29.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,30.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,31.05.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,01.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,05.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,08.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,09.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,12.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,14.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,15.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,16.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,19.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,22.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,23.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,28.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,29.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,30.06.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,03.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,04.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,05.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,11.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,12.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,14.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,17.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,18.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,19.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,24.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,25.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,26.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,28.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,31.07.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,01.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,03.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,04.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,08.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,09.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,11.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,14.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,15.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,16.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,17.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,18.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,22.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,23.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,24.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,25.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,29.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,30.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,31.08.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,01.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,04.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,05.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,11.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,12.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,14.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,15.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,18.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,19.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,22.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,25.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,26.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,28.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,29.09.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,02.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,03.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,04.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,05.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,09.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,12.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,16.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,17.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,18.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,19.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,24.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,25.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,26.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,30.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,31.10.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,01.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,02.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,03.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,08.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,09.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,10.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,14.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,15.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,16.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,17.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,22.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,23.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,24.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,28.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,29.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,30.11.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,01.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,04.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,05.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,06.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,07.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,11.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,12.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,13.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,14.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,15.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,18.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,19.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,20.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,21.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,22.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,25.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,26.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,27.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,28.12.2017,"5.000,00",,,"5.000,00","0,00",,,
INB,02.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,03.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,04.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,05.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,09.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,10.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,11.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,12.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,15.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,16.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,17.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,18.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,22.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,23.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,24.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,25.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,26.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,29.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,30.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,31.01.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,01.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,02.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,05.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,06.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,07.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,08.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,09.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,12.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,13.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,14.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,15.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,16.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,19.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,20.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,21.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,22.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,23.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,26.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,27.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,28.02.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,01.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,02.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,05.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,06.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,07.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,08.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,09.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,12.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,13.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,14.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,15.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,16.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,19.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,20.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,21.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,22.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,23.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,26.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,27.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,28.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,29.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,30.03.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,02.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,03.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,04.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,05.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,10.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,11.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,12.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,13.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,16.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,17.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,18.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,19.04.2018,"5.000,00",,,"5.000,00","0,00",,,
INB,20.04.2018,"5.000,00",,,"5.000,00","0,00",,,
